"partId","PROLIFIC_PID","gender","nationality","education","date","task","trial","left","right","rating","rt"
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",14,"Ex4","Ex2",1.99609375,13.0767
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",15,"Ex1","Ex6",4.0234375,4.6015
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",16,"Ex3","Ex4",1.01171875,6.3865
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",17,"Ex7","Ex6",4.99609375,89.5675
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",18,"Ex2","Ex7",1,5.5624
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",19,"Ex2","Ex4",1,3.3542
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",20,"Ex6","Ex1",5.95703125,4.0468
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",21,"Ex7","Ex2",1.0234375,10.2372
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",22,"Ex3","Ex2",1.0234375,2.4227
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",23,"Ex1","Ex5",1.0234375,4.8789
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",24,"Ex6","Ex5",1.0234375,3.2823
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",25,"Ex8","Ex3",1.0234375,4.9034
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",26,"Ex6","Ex4",1.97265625,30.6536
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",27,"Ex2","Ex6",1.9609375,7.2687
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",28,"Ex1","Ex3",3.00390625,6.5573
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",29,"Ex5","Ex8",2.9921875,5.2721
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",30,"Ex2","Ex8",1.01171875,4.6043
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",31,"Ex1","Ex4",1.01171875,1.896
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",32,"Ex8","Ex4",3.00390625,11.2632
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",33,"Ex3","Ex5",1.984375,15.5042
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",34,"Ex6","Ex3",3.0859375,33.5336
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",35,"Ex8","Ex2",1.97265625,3.7556
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",36,"Ex3","Ex1",3.00390625,6.2275
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",37,"Ex1","Ex8",1,133.6273
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",38,"Ex4","Ex1",1.984375,3.5714
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",39,"Ex4","Ex3",1,3.5212
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",40,"Ex5","Ex2",4.97265625,2.7705
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",41,"Ex7","Ex5",1.94921875,9.2015
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",42,"Ex8","Ex1",1,6.238
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",43,"Ex6","Ex8",1,2.0754
